id,osm_node_id,latitude,longitude,speed_limit,camera_type,compass_direction,road_direction,source
1,245512452,41.2985735,69.2961222,60,speed_camera,,,openstreetmap
2,247311880,42.5998476,59.6689949,50,speed_camera,,,openstreetmap
3,295331633,40.3708845,71.4152016,55,speed_camera,S,Ayrilma,openstreetmap
4,296058674,40.9939598,71.6715032,70,speed_camera,,,openstreetmap
5,296103271,41.0074095,71.6163102,70,speed_camera,,,openstreetmap
6,304264131,41.3101792,69.2399783,50,speed_camera,SW,Радар-C,openstreetmap
7,304264511,41.3121131,69.2413673,60,speed_camera,,Радар-C,openstreetmap
8,332406535,41.5127171,69.653615,,speed_camera,,,openstreetmap
9,355228536,41.2757483,69.2058374,60,speed_camera,NE,Радар-C,openstreetmap
10,357168503,41.3214043,69.2425717,60,speed_camera,,,openstreetmap
11,357201548,41.3169042,69.2934506,60,speed_camera,,Радар-C,openstreetmap
12,357890290,41.3213953,69.2829238,60,speed_camera,,,openstreetmap
13,359036902,41.3217382,69.2810679,60,speed_camera,E,Радар-C,openstreetmap
14,359363938,41.3418618,69.3672396,60,speed_camera,,,openstreetmap
15,359503970,41.3101077,69.240137,50,speed_camera,SW,Радар-C,openstreetmap
16,359503971,41.3121101,69.2415676,60,speed_camera,N,Радар-C,openstreetmap
17,359933604,41.3543233,69.3721767,60,speed_camera,,,openstreetmap
18,361152124,41.3512319,69.2878937,60,speed_camera,,,openstreetmap
19,361157820,41.3512354,69.2876796,60,speed_camera,N,,openstreetmap
20,376518906,41.3455075,69.360746,60,speed_camera,,,openstreetmap
21,378054628,41.2558019,69.3204859,60,speed_camera,,,openstreetmap
22,956093811,41.2715941,69.2669748,60,speed_camera,SW,Радар-С,openstreetmap
23,975394851,40.0602802,64.547924,70,speed_camera,NE,,openstreetmap
24,975394938,40.0863305,64.6748255,60,speed_camera,W,,openstreetmap
25,982325859,41.2559,69.3204235,60,speed_camera,,,openstreetmap
26,982325874,41.2559013,69.320597,60,speed_camera,,,openstreetmap
27,1133630040,41.319514,69.4740614,,speed_camera,,радар,openstreetmap
28,1257622038,39.7488979,64.4241778,60,speed_camera,,,openstreetmap
29,1257622041,39.7485639,64.4238331,60,speed_camera,,,openstreetmap
30,1257622060,39.7491947,64.4236856,60,speed_camera,,,openstreetmap
31,1567574559,41.2661592,69.2475466,60,speed_camera,W,Радар-С,openstreetmap
32,1573954885,40.0233248,67.6154703,70,speed_camera,,АВТО РАДАР,openstreetmap
33,1640377076,41.3550443,69.2690665,50,speed_camera,,,openstreetmap
34,1657752610,40.8000586,68.6760477,70,speed_camera,N,Radar kamera,openstreetmap
35,1661946804,41.2524956,69.3860558,60,speed_camera,,,openstreetmap
36,1775070773,41.3073719,69.3011219,60,speed_camera,,,openstreetmap
37,1775070774,41.3074383,69.3015543,60,speed_camera,,,openstreetmap
38,1804753925,41.3598584,69.2781664,60,speed_camera,,,openstreetmap
39,1833182247,40.0669776,64.9002083,100,speed_camera,,,openstreetmap
40,1838256069,39.819347,64.4332749,70,speed_camera,N,Радар,openstreetmap
41,1838256071,39.8193813,64.4331562,70,speed_camera,S,Радар,openstreetmap
42,1849853146,40.730765,70.8315916,70,speed_camera,S,Радар-C,openstreetmap
43,1849853147,40.7334094,70.8304966,70,speed_camera,N,Радар-C,openstreetmap
44,1860757207,41.3281009,69.2832588,60,speed_camera,N,Камера,openstreetmap
45,1891563971,39.145077,66.1734322,70,speed_camera,,РАДАР,openstreetmap
46,1962681889,41.2966168,69.286322,60,speed_camera,,,openstreetmap
47,2050899808,40.9925461,71.6680659,70,speed_camera,,,openstreetmap
48,2114508867,40.2336734,68.8405667,70,speed_camera,N,,openstreetmap
49,2208475376,40.8547513,68.6648554,70,speed_camera,N,Радар-C,openstreetmap
50,2219644395,40.5020267,68.5375195,100,speed_camera,E,,openstreetmap
51,2246700075,40.7166475,64.8717275,100,speed_camera,,,openstreetmap
52,2255664341,39.9619051,65.9325937,70,speed_camera,E,Радар-C,openstreetmap
53,2255665350,40.1075949,65.5359856,70,speed_camera,,Радар,openstreetmap
54,2302816341,41.6166204,69.9149291,,speed_camera,,,openstreetmap
55,2371761247,39.9273283,66.2161403,70,speed_camera,,Радар,openstreetmap
56,2435297838,40.0742602,64.3263434,70,speed_camera,S,,openstreetmap
57,2689441968,40.9972663,71.5771511,70,speed_camera,,,openstreetmap
58,2689441969,40.9974087,71.5771847,70,speed_camera,,,openstreetmap
59,2798465977,41.3173851,69.2933432,60,speed_camera,,Радар-C,openstreetmap
60,4163106108,40.1254496,65.4675419,70,speed_camera,,,openstreetmap
61,4193528816,41.328072,69.2834477,60,speed_camera,S,Радар-C,openstreetmap
62,4215015057,41.2965331,69.2862082,60,speed_camera,,,openstreetmap
63,4341528324,41.3509516,69.2878319,60,speed_camera,S,,openstreetmap
64,4433678899,41.3336125,69.3026559,60,speed_camera,,,openstreetmap
65,4433678900,41.3336694,69.3034694,60,speed_camera,,,openstreetmap
66,4445359064,41.3670959,69.2849819,60,speed_camera,,,openstreetmap
67,4487287213,40.8742761,68.6690515,70,speed_camera,,,openstreetmap
68,4536303334,41.3347114,69.2794215,60,speed_camera,,,openstreetmap
69,4538540161,41.3658699,69.2861796,60,speed_camera,,,openstreetmap
70,4538540164,41.3131192,69.330759,60,speed_camera,,,openstreetmap
71,4557549456,41.2922331,69.280443,60,speed_camera,,,openstreetmap
72,4557549457,41.2921615,69.2803467,60,speed_camera,,,openstreetmap
73,4560283928,40.556451,68.745646,70,speed_camera,N,,openstreetmap
74,4560283929,40.5564709,68.7457661,70,speed_camera,S,,openstreetmap
75,4597355092,39.6588036,66.9448166,,speed_camera,,,openstreetmap
76,4597370589,39.655982,66.9561132,,speed_camera,,,openstreetmap
77,4623864315,41.3209034,69.3042355,60,speed_camera,,,openstreetmap
78,4623864316,41.32211,69.3033124,60,speed_camera,,,openstreetmap
